appid,store_market,available_in_cn,name,type,is_free,release_date_text,coming_soon,currency,initial_price,final_price,discount_percent,developers,publishers,genres,supports_simplified_chinese,all_review_count,all_positive_count,all_negative_count,chinese_review_count,chinese_positive_count,chinese_negative_count,non_chinese_review_count,non_chinese_positive_count,chinese_review_share,all_positive_rate,chinese_positive_rate,non_chinese_positive_rate,positive_rate_gap,chinese_vs_non_chinese_gap,mostplayed_rank,topselling_rank,chart_count,sample_origin,curated_reason,snapshot_date,collected_at_utc
730,cn,True,Counter-Strike 2,game,True,"15 Sep, 2017",False,,,,,Valve,Valve,Action | Free To Play,True,9863705,8469881,1393824,1412829,1258069,154760,8450876,7211812,0.14323512311043365,0.858691637675701,0.890460912113214,0.8533804069542613,0.031769274437512984,0.03708050515895267,1,3,2,chart,,2026-09-18,2026-09-18T08:12:50+00:00
4080220,cn,True,EA SPORTS FC™ 27,game,False,"24 Sep, 2026",True,CNY,248.0,248.0,0,EA CANADA | EA Romania,Electronic Arts,Simulation | Sports,True,157,86,71,9,6,3,148,80,0.05732484076433121,0.5477707006369427,0.6666666666666666,0.5405405405405406,0.11889596602972397,0.12612612612612606,,1,1,chart,,2026-09-18,2026-09-18T08:12:50+00:00
570,cn,True,Dota 2,game,True,"9 Jul, 2013",False,,,,,Valve,Valve,Action | Strategy | Free To Play,True,2780611,2238134,542477,206884,162819,44065,2573727,2075315,0.0744023525764661,0.8049072667841708,0.7870062450455327,0.8063462053279155,-0.017901021738638057,-0.019339960282382718,2,8,2,chart,,2026-09-18,2026-09-18T08:12:50+00:00
1867240,cn,True,WARDOGS,game,False,"10 Sep, 2026",False,CNY,149.0,149.0,0,BULKHEAD,Team17,Action | Indie | Massively Multiplayer | Simulation | Early Access,True,67317,54007,13310,5138,2347,2791,62179,51660,0.0763254452812811,0.8022787705928666,0.4567925262748151,0.8308271281300761,-0.34548624431805147,-0.374034601855261,4,2,2,chart,,2026-09-18,2026-09-18T08:12:50+00:00
578080,cn,True,PUBG: BATTLEGROUNDS,game,True,"21 Dec, 2017",False,,,,,PUBG Corporation,"KRAFTON, Inc.",Action | Adventure | Massively Multiplayer | Free To Play,True,2755199,1668269,1086930,1402065,714482,687583,1353134,953787,0.5088797578686693,0.6054985501954668,0.509592636575337,0.7048725403396855,-0.09590591362012979,-0.19527990376434845,3,6,2,chart,,2026-09-18,2026-09-18T08:12:50+00:00
2767030,cn,True,Marvel Rivals,game,True,"5 Dec, 2024",False,,,,,NetEase Games,NetEase Games,Action | Adventure | Casual | Massively Multiplayer | Racing | RPG | Strategy | Free To Play,True,416886,315101,101785,18278,10457,7821,398608,304644,0.043844120454992495,0.7558445234428597,0.5721085457927563,0.7642696584112713,-0.1837359776501034,-0.19216111261851498,20,4,2,chart,,2026-09-18,2026-09-18T08:12:50+00:00
3419430,cn,True,Bongo Cat,game,True,"5 Mar, 2025",False,,,,,Irox Games,Irox Games,Casual | Indie | Massively Multiplayer | Simulation | Free To Play,True,110743,106940,3803,25657,24410,1247,85086,82530,0.23168055768761908,0.9656592290257624,0.9513972794948747,0.9699598053733869,-0.014261949530887663,-0.01856252587851215,5,,1,chart,,2026-09-18,2026-09-18T08:12:50+00:00
4225980,cn,True,Trails in the Sky 2nd Chapter,game,False,"16 Sep, 2026",False,CNY,298.0,268.2,10,Nihon Falcom,"Nihon Falcom | GungHo Online Entertainment America, Inc. | Clouded Leopard Entertainment",Action | Adventure | RPG,True,454,436,18,250,238,12,204,198,0.5506607929515418,0.960352422907489,0.952,0.9705882352941176,-0.008352422907489054,-0.018588235294117683,,5,1,chart,,2026-09-18,2026-09-18T08:12:50+00:00
1172470,cn,True,Apex Legends™,game,True,"4 Nov, 2020",False,,,,,Respawn,Electronic Arts,Action | Adventure | Free To Play,True,1069505,724832,344673,270399,120674,149725,799106,604158,0.25282630749739365,0.6777266118437969,0.4462812362471755,0.7560423773566961,-0.23144537559662143,-0.30976114110952063,6,10,2,chart,,2026-09-18,2026-09-18T08:12:50+00:00
1973530,cn,True,Limbus Company,game,True,"26 Feb, 2023",False,,,,,ProjectMoon,ProjectMoon,Free To Play,False,118710,104768,13942,27854,22289,5565,90856,82479,0.23463903630696656,0.8825541234942297,0.8002082286206649,0.9077991547063485,-0.0823458948735648,-0.10759092608568366,15,7,2,chart,,2026-09-18,2026-09-18T08:12:50+00:00
3678970,cn,True,TBH: Task Bar Hero,game,True,"27 May, 2026",False,,,,,Nugem Studio | Tesseract Studio,Nugem Studio,Casual | Indie | RPG | Free To Play,True,46307,24821,21486,9739,2387,7352,36568,22434,0.2103137754551148,0.536009674563241,0.24509703254954307,0.6134872019251805,-0.29091264201369793,-0.3683901693756374,7,,1,chart,,2026-09-18,2026-09-18T08:12:50+00:00
892970,cn,True,Valheim,game,False,"9 Sep, 2026",False,CNY,89.0,89.0,0,Iron Gate AB,Coffee Stain Publishing,Action | Adventure | Indie | RPG,True,550005,516148,33857,21686,18331,3355,528319,497817,0.03942873246606849,0.9384423777965655,0.8452918933874389,0.9422659415996775,-0.09315048440912654,-0.09697404821223854,8,52,2,chart,,2026-09-18,2026-09-18T08:12:50+00:00
252490,cn,True,Rust,game,False,"8 Feb, 2018",False,CNY,138.0,69.0,50,Facepunch Studios,Facepunch Studios,Action | Adventure | Indie | Massively Multiplayer | RPG,True,1399102,1213310,185792,28417,21485,6932,1370685,1191825,0.02031088512488725,0.8672062508666273,0.756061512474927,0.8695105002243404,-0.11114473839170025,-0.11344898774941337,9,22,2,chart,,2026-09-18,2026-09-18T08:12:50+00:00
4126040,cn,True,Aniimo,game,True,"15 Sep, 2026",False,,,,,Pawprint Studio,Pawprint Studio,Action | Adventure | Massively Multiplayer | RPG | Simulation | Strategy | Free To Play,True,7372,4784,2588,463,101,362,6909,4683,0.062805208898535,0.6489419424850786,0.21814254859611232,0.6778115501519757,-0.4307993938889663,-0.4596690015558634,10,9,2,chart,,2026-09-18,2026-09-18T08:12:50+00:00
2344520,cn,True,Diablo® IV,game,False,"17 Oct, 2023",False,CNY,348.0,87.0,75,"Blizzard Entertainment, Inc.","Blizzard Entertainment, Inc.",Action | Adventure | Casual | Massively Multiplayer | RPG,True,76739,49874,26865,19690,8780,10910,57049,41094,0.25658400552522187,0.6499172519839977,0.4459116302691722,0.7203281389682553,-0.20400562171482556,-0.27441650869908313,34,11,2,chart,,2026-09-18,2026-09-18T08:12:50+00:00
431960,cn,True,Wallpaper Engine,game,False,"16 Nov, 2018",False,CNY,22.9,22.9,0,Wallpaper Engine Team,Wallpaper Engine Team,Casual | Indie | Animation & Modeling | Design & Illustration | Photo Editing | Utilities,True,1016790,991948,24842,454009,440372,13637,562781,551576,0.4465120624711101,0.9755682097581605,0.9699631505102322,0.9800899461779982,-0.005605059247928312,-0.010126795667765975,12,,1,chart,,2026-09-18,2026-09-18T08:12:50+00:00
1086940,cn,True,Baldur's Gate 3,game,False,"3 Aug, 2023",False,CNY,298.0,208.6,30,Larian Studios,Larian Studios,Adventure | RPG | Strategy,True,857985,830414,27571,101298,97506,3792,756687,732908,0.1180650011363835,0.9678654055723585,0.9625658946869632,0.9685748532748679,-0.005299510885395264,-0.006008958587904734,39,12,2,chart,,2026-09-18,2026-09-18T08:12:50+00:00
1938090,cn,True,Call of Duty®,game,False,"27 Oct, 2022",False,,,,,Treyarch | Raven Software | Beenox | High Moon Studios | Sledgehammer Games | Infinity Ward | Activision Shanghai | Demonware,Activision,Action,True,781773,457699,324074,136801,60919,75882,644972,396780,0.1749881359422748,0.585462787791341,0.4453110722874833,0.6151894965983019,-0.1401517155038577,-0.16987842431081862,60,13,2,chart,,2026-09-18,2026-09-18T08:12:50+00:00
2507950,cn,True,Delta Force,game,True,"4 Dec, 2024",False,,,,,Team Jade,TiMi Studio Group,Action | Adventure | Massively Multiplayer | Free To Play,True,195440,112873,82567,61664,24976,36688,133776,87897,0.3155137126483831,0.5775327466230045,0.4050337311883757,0.657046106925009,-0.17249901543462876,-0.25201237573663327,13,81,2,chart,,2026-09-18,2026-09-18T08:12:50+00:00
